,Product Name,Description,Price
0,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/545"" title=""Asus VivoBook X441NA-GA190"">Asus VivoBook X4...</a>","<p class=""description"">Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd</p>","<h4 class=""pull-right price"">$295.99</h4>"
1,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/546"" title=""Prestigio SmartBook 133S Dark Grey"">Prestigio SmartB...</a>","<p class=""description"">Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam</p>","<h4 class=""pull-right price"">$299.00</h4>"
2,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/547"" title=""Prestigio SmartBook 133S Gold"">Prestigio SmartB...</a>","<p class=""description"">Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam</p>","<h4 class=""pull-right price"">$299.00</h4>"
3,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/517"" title=""Aspire E1-510"">Aspire E1-510</a>","<p class=""description"">15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux</p>","<h4 class=""pull-right price"">$306.99</h4>"
4,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/548"" title=""Lenovo V110-15IAP"">Lenovo V110-15IA...</a>","<p class=""description"">Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$321.94</h4>"
5,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/549"" title=""Lenovo V110-15IAP"">Lenovo V110-15IA...</a>","<p class=""description"">Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd</p>","<h4 class=""pull-right price"">$356.49</h4>"
6,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/550"" title=""Hewlett Packard 250 G6 Dark Ash Silver"">Hewlett Packard...</a>","<p class=""description"">Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS</p>","<h4 class=""pull-right price"">$364.46</h4>"
7,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/551"" title=""Acer Aspire 3 A315-31 Black"">Acer Aspire 3 A3...</a>","<p class=""description"">Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$372.70</h4>"
8,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/552"" title=""Acer Aspire A315-31-C33J"">Acer Aspire A315...</a>","<p class=""description"">Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG</p>","<h4 class=""pull-right price"">$379.94</h4>"
9,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/553"" title=""Acer Aspire ES1-572 Black"">Acer Aspire ES1-...</a>","<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux</p>","<h4 class=""pull-right price"">$379.95</h4>"
10,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/554"" title=""Acer Aspire 3 A315-31 Black"">Acer Aspire 3 A3...</a>","<p class=""description"">Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$391.48</h4>"
11,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/555"" title=""Acer Aspire 3 A315-21"">Acer Aspire 3 A3...</a>","<p class=""description"">Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux</p>","<h4 class=""pull-right price"">$393.88</h4>"
12,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/530"" title=""Asus VivoBook Max"">Asus VivoBook Ma...</a>","<p class=""description"">Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$399.00</h4>"
13,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/556"" title=""Asus VivoBook E502NA-GO022T Dark Blue"">Asus VivoBook E5...</a>","<p class=""description"">Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd</p>","<h4 class=""pull-right price"">$399.99</h4>"
14,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/557"" title=""Lenovo ThinkPad E31-80"">Lenovo ThinkPad...</a>","<p class=""description"">Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$404.23</h4>"
15,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/558"" title=""Acer Aspire 3 A315-31 Black"">Acer Aspire 3 A3...</a>","<p class=""description"">Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$408.98</h4>"
16,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/559"" title=""Lenovo V110-15ISK"">Lenovo V110-15IS...</a>","<p class=""description"">Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$409.63</h4>"
